Sale Date,Client Name,Address,City,State,Zip,Email,Sales Amount,Product Type,Status,Lead Source,Sales Person,Commission Pct.,Notes,Commission Amount,Sale Month
7/10/24,Juliane Castles,12 Shasta Drive,Monticello,MN,55590,jcastlesnv@dailymotion.com,"$4,494",Ultra-White Cardstock,Delivered,Cold Call,Jim Halpert,10.00%,,$449.40,Jul 2024
7/11/24,Ianthe Bottle,6309 Crescent Oaks Plaza,Bronx,NY,10464,ibottle7t@zimbio.com,"$7,499",Airstream Deluze A4,Delivered,Client Referral,Dwight Schrute,10.00%,,$749.90,Jul 2024
7/11/24,Ilise Worling,955 Meadow Vale Junction,Stamford,CT,6905,iworlingmc@columbia.edu,"$8,367",38lb bond,Delivered,Cold Call,Dwight Schrute,10.00%,,$836.70,Jul 2024
7/11/24,Mitchell Eaklee,71181 Dovetail Avenue,Akron,OH,44321,meakleend@tripadvisor.com,"$2,552",Premium Copy Paper,Delivered,Ryan's Website,Dwight Schrute,10.00%,,$255.20,Jul 2024
7/11/24,Dud Orcas,9266 Stephen Street,Charlotte,NC,28278,dorcasqb@washington.edu,"$1,754",20lb letter stock,Delivered,Purchased Leads,Stanley Hudson,10.00%,,$175.40,Jul 2024
7/12/24,Calli Woollett,3 Chive Crossing,York,PA,17405,cwoollettp@hostgator.com,"$2,503",Sticky Quips,Delivered,Cold Call,Karen Filippelli,10.00%,,$250.30,Jul 2024
7/12/24,Thor Jerrems,53928 Meadow Valley Road,New Orleans,LA,70165,tjerrems3y@china.com.cn,"$3,717",20lb letter stock,Delivered,Inbound Call,Dwight Schrute,10.00%,,$371.70,Jul 2024
7/13/24,Hallie Shillom,619 Luster Drive,Washington,DC,20540,hshillommg@blogs.com,"$9,248",HQ 28lb bond,Delivered,Ryan's Website,Karen Filippelli,10.00%,,$924.80,Jul 2024
7/14/24,Brittney Middas,77 Havey Lane,Charlotte,NC,28205,bmiddas1e@google.fr,"$1,645",65lb cover stock,Delivered,Yellow Pages,Dwight Schrute,10.00%,,$164.50,Jul 2024
7/14/24,Harwilll Very,34194 Lien Way,Newton,MA,2162,hvery7s@virginia.edu,"$5,059",Airstream Deluze A4,Delivered,Cold Call,Dwight Schrute,10.00%,,$505.90,Jul 2024
7/14/24,Dawna Kemmer,39809 Manufacturers Street,New York City,NY,10160,dkemmerfa@nymag.com,"$2,703",Sticky Quips,Delivered,Cold Call,Dwight Schrute,10.00%,,$270.30,Jul 2024
7/14/24,Danell Morais,5 Bartelt Terrace,Tampa,FL,33680,dmoraisom@buzzfeed.com,"$6,957",Airstream Deluze A4,Delivered,Purchased Leads,Stanley Hudson,10.00%,,$695.70,Jul 2024
7/15/24,Nathaniel Hiddsley,83 Carberry Circle,Reno,NV,89505,nhiddsleyh@utexas.edu,"$9,578",38lb bond,Delivered,Purchased Leads,Phyllis Vance,10.00%,,$957.80,Jul 2024
7/15/24,Ignaz Loody,2 Corben Circle,Lansing,MI,48930,iloodyu@360.cn,"$6,633",20lb letter stock,Delivered,Client Referral,Jim Halpert,10.00%,,$663.30,Jul 2024
7/15/24,Jammal Workes,2799 Shasta Circle,New Castle,PA,16107,jworkesc0@state.tx.us,"$3,828",Airstream Deluze A4,Delivered,Cold Call,Stanley Hudson,10.00%,,$382.80,Jul 2024
7/15/24,Ariel Zanussii,08101 Waubesa Point,Jamaica,NY,11431,azanussiiqt@sfgate.com,"$9,455",38lb bond,Delivered,Ryan's Website,Phyllis Vance,10.00%,,$945.50,Jul 2024
7/16/24,Morganica McIvor,87169 Sunbrook Lane,Hartford,CT,6183,mmcivor15@weather.com,"$6,810",65lb cover stock,Delivered,Cold Call,Karen Filippelli,10.00%,,$681.00,Jul 2024
7/16/24,Arri Callinan,50265 Vidon Trail,Richmond,VA,23277,acallinanai@trellian.com,"$2,941",Premium Copy Paper,Delivered,Purchased Leads,Stanley Hudson,10.00%,,$294.10,Jul 2024
7/16/24,Vitoria Duckering,48 Golf Circle,Syracuse,NY,13217,vduckeringmq@imgur.com,"$4,901",65lb cover stock,Delivered,Cold Call,Dwight Schrute,10.00%,,$490.10,Jul 2024
7/17/24,Abigale Malpass,62 Amoth Court,Atlanta,GA,31190,amalpassd9@examiner.com,"$9,816",65lb cover stock,Delivered,Cold Call,Dwight Schrute,10.00%,,$981.60,Jul 2024
7/17/24,Ivett Orneblow,994 Eliot Way,Durham,NC,27705,iorneblowiq@yellowbook.com,"$8,614",20lb letter stock,Delivered,Cold Call,Dwight Schrute,10.00%,,$861.40,Jul 2024
7/18/24,Marsh Balam,700 4th Terrace,San Diego,CA,92153,mbalamd@hc360.com,"$5,127",Ultra-White Cardstock,Delivered,Cold Call,Phyllis Vance,10.00%,,$512.70,Jul 2024
7/19/24,Calley Brede,44 Loomis Place,Lubbock,TX,79405,cbrede5o@scientificamerican.com,"$3,486",65lb cover stock,Delivered,Purchased Leads,Dwight Schrute,10.00%,,$348.60,Jul 2024
7/19/24,Lonna Takis,4 Troy Center,Oakland,CA,94627,ltakis6b@live.com,"$2,366",Sticky Quips,Delivered,Inbound Call,Stanley Hudson,10.00%,,$236.60,Jul 2024
7/20/24,Gillian Duffer,0944 Waubesa Place,San Diego,CA,92137,gduffer1b@earthlink.net,"$5,738",Premium Copy Paper,Delivered,Cold Call,Jim Halpert,10.00%,,$573.80,Jul 2024
7/20/24,Arthur Goodey,92463 Marcy Terrace,New York City,NY,10150,agoodeykv@biblegateway.com,"$4,405",65lb cover stock,Delivered,Purchased Leads,Dwight Schrute,10.00%,,$440.50,Jul 2024
7/20/24,Dione Tubb,256 Lawn Street,Cedar Rapids,IA,52410,dtubbq6@smh.com.au,"$5,730",65lb cover stock,Delivered,Client Referral,Jim Halpert,10.00%,,$573.00,Jul 2024
7/21/24,Aymer Logue,877 Walton Avenue,Richmond,CA,94807,alogue6z@disqus.com,"$7,664",65lb cover stock,Delivered,Cold Call,Jim Halpert,10.00%,,$766.40,Jul 2024
7/21/24,Garry Worthing,3149 Fair Oaks Junction,Chattanooga,TN,37416,gworthing93@slashdot.org,"$3,270",Airstream Deluze A4,Delivered,Inbound Call,Stanley Hudson,10.00%,,$327.00,Jul 2024
7/21/24,Luise Rekes,7671 Park Meadow Road,Seattle,WA,98175,lrekesq1@printfriendly.com,"$6,642",38lb bond,Delivered,Client Referral,Dwight Schrute,10.00%,,$664.20,Jul 2024
7/22/24,Thornton Boud,15746 Paget Hill,Virginia Beach,VA,23459,tboudhd@opensource.org,"$8,950",65lb cover stock,Delivered,Client Referral,Jim Halpert,10.00%,,$895.00,Jul 2024
7/22/24,Suki Beagin,797 Leroy Point,Phoenix,AZ,85083,sbeaginm6@tumblr.com,"$4,710",Premium Copy Paper,Delivered,Cold Call,Dwight Schrute,10.00%,,$471.00,Jul 2024
7/23/24,Betteann Penton,092 Lunder Center,Raleigh,NC,27610,bpentonf@storify.com,"$8,699",20lb letter stock,Delivered,Cold Call,Dwight Schrute,10.00%,,$869.90,Jul 2024
7/23/24,Lurette Rymill,59 Iowa Terrace,Austin,TX,78703,lrymill5a@cisco.com,"$4,745",HQ 28lb bond,Delivered,Purchased Leads,Dwight Schrute,10.00%,,$474.50,Jul 2024
7/25/24,Creighton Laws,3999 Prentice Parkway,Manassas,VA,22111,claws38@gmpg.org,"$5,197",Sticky Quips,Delivered,Client Referral,Jim Halpert,10.00%,,$519.70,Jul 2024
7/25/24,Alphonse Maylam,72357 Utah Road,Milwaukee,WI,53234,amaylamhi@home.pl,"$6,005",Ultra-White Cardstock,Delivered,Client Referral,Jim Halpert,10.00%,,$600.50,Jul 2024
7/25/24,Urbano Whyborne,29804 Bashford Court,Milwaukee,WI,53285,uwhybornemm@sohu.com,"$7,444",Ultra-White Cardstock,Delivered,Cold Call,Jim Halpert,10.00%,,$744.40,Jul 2024
7/25/24,Teena Gout,38 Buhler Plaza,Phoenix,AZ,85025,tgoutpr@cornell.edu,"$5,226",Airstream Deluze A4,Delivered,Cold Call,Dwight Schrute,10.00%,,$522.60,Jul 2024
7/26/24,Nona Fones,41 Melvin Crossing,Houston,TX,77020,nfonesd2@bluehost.com,"$5,450",Sticky Quips,Delivered,Yellow Pages,Stanley Hudson,10.00%,,$545.00,Jul 2024
7/26/24,Lindsay Jilliss,9 Gina Street,Washington,DC,20220,ljillisspf@phpbb.com,"$2,159",38lb bond,Delivered,Client Referral,Jim Halpert,10.00%,,$215.90,Jul 2024
7/27/24,Pyotr Dow,531 Dwight Road,Rochester,NY,14639,pdowis@symantec.com,"$2,009",20lb letter stock,Delivered,Cold Call,Danny Cordray,10.00%,,$200.90,Jul 2024
7/28/24,Cari Foulks,246 Summer Ridge Street,Albuquerque,NM,87115,cfoulksoj@nydailynews.com,"$2,308",Premium Copy Paper,Delivered,Client Referral,Dwight Schrute,10.00%,,$230.80,Jul 2024
7/29/24,Melamie Cottam,64892 Autumn Leaf Junction,Houston,TX,77223,mcottam5e@livejournal.com,"$1,099",Airstream Deluze A4,Delivered,Client Referral,Stanley Hudson,10.00%,,$109.90,Jul 2024
7/29/24,Laney Kytter,5282 Grover Road,Kansas City,MO,64109,lkytterd0@vimeo.com,"$4,206",20lb letter stock,Delivered,Cold Call,Jim Halpert,10.00%,,$420.60,Jul 2024
7/29/24,Orelle Shergill,82199 Anderson Trail,Salt Lake City,UT,84189,oshergille1@jalbum.net,"$4,148",38lb bond,Delivered,Yellow Pages,Jim Halpert,10.00%,,$414.80,Jul 2024
7/29/24,Grata Mowsdell,5469 Saint Paul Parkway,Orlando,FL,32808,gmowsdello9@forbes.com,"$9,954",38lb bond,Delivered,Yellow Pages,Stanley Hudson,10.00%,,$995.40,Jul 2024
7/30/24,Cecil Lothean,54637 Boyd Alley,San Diego,CA,92105,clothean79@google.com.br,"$2,813",38lb bond,Delivered,Cold Call,Dwight Schrute,10.00%,,$281.30,Jul 2024
7/30/24,Kalil Noweak,3532 Garrison Plaza,El Paso,TX,88563,knoweakd7@cbsnews.com,"$7,803",Airstream Deluze A4,Delivered,Ryan's Website,Stanley Hudson,10.00%,,$780.30,Jul 2024
7/31/24,Cathrine Kohler,66172 La Follette Point,Louisville,KY,40293,ckohler19@tripadvisor.com,"$8,274",Airstream Deluze A4,Delivered,Purchased Leads,Stanley Hudson,10.00%,,$827.40,Jul 2024
7/31/24,Ralina Sleaford,05 Carpenter Junction,Phoenix,AZ,85040,rsleaford7m@apple.com,"$6,843",65lb cover stock,Delivered,Cold Call,Jim Halpert,10.00%,,$684.30,Jul 2024
7/31/24,Eziechiele Keoghane,5348 Sachs Plaza,Columbia,MO,65218,ekeoghane9d@hhs.gov,"$9,085",65lb cover stock,Delivered,Cold Call,Jim Halpert,10.00%,,$908.50,Jul 2024
7/31/24,James Cristofolo,6 Derek Drive,Los Angeles,CA,90030,jcristofolo9y@ted.com,"$9,886",65lb cover stock,Delivered,Inbound Call,Dwight Schrute,10.00%,,$988.60,Jul 2024
7/31/24,Francoise Ainge,04 Pleasure Court,Naples,FL,34102,faingebl@salon.com,"$2,512",20lb letter stock,Delivered,Cold Call,Stanley Hudson,10.00%,,$251.20,Jul 2024
7/31/24,Bordy Silvester,656 Grasskamp Terrace,Reston,VA,20195,bsilvesterjq@mapquest.com,"$6,406",20lb letter stock,Delivered,Cold Call,Phyllis Vance,10.00%,,$640.60,Jul 2024
7/31/24,Florence MacHoste,8306 Dorton Court,Duluth,GA,30195,fmachostekg@intel.com,"$8,787",65lb cover stock,Delivered,Purchased Leads,Dwight Schrute,10.00%,,$878.70,Jul 2024
7/31/24,Katee Statefield,22 Butternut Center,Jamaica,NY,11407,kstatefieldm8@hhs.gov,"$3,434",Airstream Deluze A4,Delivered,Client Referral,Dwight Schrute,10.00%,,$343.40,Jul 2024
7/31/24,Sybil Larroway,389 Nancy Trail,Austin,TX,78764,slarrowaypj@woothemes.com,"$5,595",Premium Copy Paper,Delivered,Cold Call,Phyllis Vance,10.00%,,$559.50,Jul 2024
8/1/24,Lenore Varnham,22553 Blackbird Point,Atlanta,GA,30368,lvarnham42@ted.com,"$7,014",Airstream Deluze A4,Delivered,Ryan's Website,Dwight Schrute,10.00%,,$701.40,Aug 2024
8/1/24,Saxe Goodliffe,5375 Talmadge Hill,Washington,DC,20036,sgoodliffepp@example.com,"$8,692",38lb bond,Delivered,Cold Call,Phyllis Vance,10.00%,,$869.20,Aug 2024
8/2/24,Timmy Lacey,27 Scott Hill,Carol Stream,IL,60158,tlaceyos@hc360.com,"$4,377",HQ 28lb bond,Delivered,Inbound Call,Phyllis Vance,10.00%,,$437.70,Aug 2024
8/3/24,Dolores Sporner,0940 Parkside Avenue,Buffalo,NY,14225,dsporner72@omniture.com,"$4,753",HQ 28lb bond,Delivered,Cold Call,Andy Bernard,10.00%,,$475.30,Aug 2024
8/3/24,Pattin Paaso,05413 Ramsey Lane,Philadelphia,PA,19146,ppaasobd@paypal.com,"$6,807",38lb bond,Delivered,Client Referral,Phyllis Vance,10.00%,,$680.70,Aug 2024
8/3/24,Gates Laise,51 Carioca Trail,Wilmington,DE,19892,glaisegx@theguardian.com,"$8,262",Airstream Deluze A4,Delivered,Cold Call,Phyllis Vance,10.00%,,$826.20,Aug 2024
8/4/24,Wynnie Patient,15 Crest Line Court,Anaheim,CA,92805,wpatient47@spotify.com,"$4,848",Sticky Quips,Delivered,Cold Call,Phyllis Vance,10.00%,,$484.80,Aug 2024
8/4/24,Jsandye Flobert,4 Ryan Center,Louisville,KY,40225,jflobertaj@so-net.ne.jp,"$5,988",Premium Copy Paper,Delivered,Cold Call,Jim Halpert,10.00%,,$598.80,Aug 2024
8/4/24,Gerianne Orvis,91 Park Meadow Junction,Albuquerque,NM,87195,gorvisb0@newsvine.com,"$7,607",HQ 28lb bond,Delivered,Client Referral,Andy Bernard,10.00%,,$760.70,Aug 2024
8/4/24,Dorice Northeast,386 West Drive,El Paso,TX,79955,dnortheasthh@nba.com,"$3,744",Ultra-White Cardstock,Delivered,Purchased Leads,Jim Halpert,10.00%,,$374.40,Aug 2024
8/4/24,Helaina Triggel,85 Artisan Court,Muskegon,MI,49444,htriggelke@statcounter.com,"$1,851",Premium Copy Paper,Delivered,Client Referral,Danny Cordray,10.00%,,$185.10,Aug 2024
8/5/24,Dulcie Buxsy,25590 Drewry Park,El Paso,TX,88514,dbuxsypt@wiley.com,"$6,988",20lb letter stock,Delivered,Client Referral,Dwight Schrute,10.00%,,$698.80,Aug 2024
8/6/24,Jamie Van Merwe,3 Pawling Plaza,Jefferson City,MO,65110,jvan9u@photobucket.com,"$4,097",HQ 28lb bond,Delivered,Cold Call,Jim Halpert,10.00%,,$409.70,Aug 2024
8/6/24,Valerye Bockett,50 Shasta Alley,Los Angeles,CA,90035,vbockettlv@princeton.edu,"$5,696",Ultra-White Cardstock,Delivered,Purchased Leads,Stanley Hudson,10.00%,,$569.60,Aug 2024
8/7/24,Norine Spinley,6 Graceland Court,Augusta,GA,30905,nspinley1d@cargocollective.com,"$3,404",HQ 28lb bond,Delivered,Inbound Call,Phyllis Vance,10.00%,,$340.40,Aug 2024
8/7/24,Lane Lavis,980 Superior Trail,Mobile,AL,36616,llaviset@bandcamp.com,"$5,645",20lb letter stock,Delivered,Cold Call,Danny Cordray,10.00%,,$564.50,Aug 2024
8/7/24,Ruben Peaker,0 Park Meadow Circle,Portland,OR,97221,rpeakerh1@cnn.com,"$8,315",Ultra-White Cardstock,Delivered,Cold Call,Dwight Schrute,10.00%,,$831.50,Aug 2024
8/8/24,Shela Glantz,8214 Starling Pass,Laurel,MD,20709,sglantz7z@baidu.com,"$7,827",20lb letter stock,Delivered,Purchased Leads,Andy Bernard,10.00%,,$782.70,Aug 2024
8/8/24,Baird Brettelle,90491 Jay Crossing,Waterloo,IA,50706,bbrettellelr@google.co.uk,"$7,802",38lb bond,Delivered,Client Referral,Phyllis Vance,10.00%,,$780.20,Aug 2024
8/9/24,Eleanor Gatfield,93582 Katie Drive,New York City,NY,10165,egatfield77@nymag.com,"$9,515",20lb letter stock,Delivered,Yellow Pages,Dwight Schrute,10.00%,,$951.50,Aug 2024
8/9/24,Taddeusz Van Daalen,4689 Judy Street,San Antonio,TX,78235,tvanak@list-manage.com,"$9,505",38lb bond,Delivered,Client Referral,Dwight Schrute,10.00%,,$950.50,Aug 2024
8/9/24,Padget Payley,72686 Sunfield Center,Gatesville,TX,76598,ppayleyd8@ox.ac.uk,"$7,357",65lb cover stock,Delivered,Client Referral,Stanley Hudson,10.00%,,$735.70,Aug 2024
8/9/24,Peyter Brierly,7 Westridge Drive,Topeka,KS,66617,pbrierlygq@seattletimes.com,"$6,510",38lb bond,Delivered,Cold Call,Phyllis Vance,10.00%,,$651.00,Aug 2024
8/9/24,Cornall Rosso,161 Vera Crossing,Washington,DC,20268,crosson9@moonfruit.com,"$8,155",HQ 28lb bond,Delivered,Ryan's Website,Jim Halpert,10.00%,,$815.50,Aug 2024
8/10/24,Barbee Todarini,224 Springview Crossing,Huntington,WV,25770,btodarinics@upenn.edu,"$9,217",38lb bond,Delivered,Inbound Call,Phyllis Vance,10.00%,,$921.70,Aug 2024
8/10/24,Carlyn Clere,88886 Birchwood Park,Dallas,TX,75353,cclerein@washingtonpost.com,"$7,421",20lb letter stock,Delivered,Cold Call,Stanley Hudson,10.00%,,$742.10,Aug 2024
8/10/24,Benedick St. Clair,4093 Del Sol Avenue,Augusta,GA,30919,bstk8@eepurl.com,"$5,508",Ultra-White Cardstock,Delivered,Ryan's Website,Phyllis Vance,10.00%,,$550.80,Aug 2024
8/11/24,Ali Zelner,01036 Melrose Crossing,Portland,OR,97216,azelnerw@free.fr,"$8,804",Premium Copy Paper,Delivered,Cold Call,Dwight Schrute,10.00%,,$880.40,Aug 2024
8/11/24,Michal Zanneli,01455 Trailsway Hill,Topeka,KS,66622,mzannelia3@seesaa.net,"$5,959",38lb bond,Delivered,Inbound Call,Dwight Schrute,10.00%,,$595.90,Aug 2024
8/11/24,Peta Whitmore,487 Graceland Lane,Wichita,KS,67236,pwhitmorem0@alexa.com,"$6,298",65lb cover stock,Delivered,Cold Call,Pam Halpert,10.00%,,$629.80,Aug 2024
8/12/24,Alene Lethibridge,763 Tennyson Terrace,San Luis Obispo,CA,93407,alethibridge9w@walmart.com,"$3,268",Sticky Quips,Delivered,Client Referral,Andy Bernard,10.00%,,$326.80,Aug 2024
8/12/24,Roman Jilkes,99040 Bluestem Crossing,Salt Lake City,UT,84130,rjilkesa6@weebly.com,"$6,404",Airstream Deluze A4,Delivered,Client Referral,Karen Filippelli,10.00%,,$640.40,Aug 2024
8/12/24,Felicity Covolini,3192 Crownhardt Place,Salt Lake City,UT,84145,fcovolinir7@arizona.edu,"$9,143",Sticky Quips,Delivered,Yellow Pages,Jim Halpert,10.00%,,$914.30,Aug 2024
8/13/24,Laural Stryde,1 Mesta Junction,New Orleans,LA,70154,lstryde1r@google.co.uk,"$4,957",HQ 28lb bond,Delivered,Cold Call,Phyllis Vance,10.00%,,$495.70,Aug 2024
8/13/24,Alvie Lumpkin,0298 Wayridge Parkway,Visalia,CA,93291,alumpkin29@geocities.jp,"$7,081",Airstream Deluze A4,Delivered,Cold Call,Jim Halpert,10.00%,,$708.10,Aug 2024
8/13/24,Dareen Robus,80647 Pepper Wood Hill,Houston,TX,77218,drobus3g@google.nl,"$9,700",HQ 28lb bond,Delivered,Client Referral,Pam Halpert,10.00%,,$970.00,Aug 2024
8/13/24,Braden Dickman,0083 Kings Crossing,Kansas City,KS,66112,bdickman8b@yelp.com,"$8,861",Airstream Deluze A4,Delivered,Inbound Call,Dwight Schrute,10.00%,,$886.10,Aug 2024
8/13/24,Egon Grouse,5747 Haas Way,Tulsa,OK,74126,egrouseb9@ftc.gov,"$9,655",20lb letter stock,Delivered,Cold Call,Jim Halpert,10.00%,,$965.50,Aug 2024
8/13/24,Denver Bechley,47 Kennedy Lane,Florence,SC,29505,dbechleyd5@surveymonkey.com,"$7,288",Sticky Quips,Delivered,Client Referral,Danny Cordray,10.00%,,$728.80,Aug 2024
8/13/24,Gregor Mixter,619 Weeping Birch Drive,Lansing,MI,48912,gmixtern2@ibm.com,"$3,983",20lb letter stock,Delivered,Cold Call,Dwight Schrute,10.00%,,$398.30,Aug 2024
8/14/24,Jaymie Conkey,17 Lindbergh Road,Shawnee Mission,KS,66286,jconkey2b@xinhuanet.com,"$2,006",38lb bond,Delivered,Inbound Call,Stanley Hudson,10.00%,,$200.60,Aug 2024
8/14/24,Reuven Krabbe,204 Merry Point,Kansas City,MO,64144,rkrabbe2h@pagesperso-orange.fr,"$6,428",38lb bond,Delivered,Yellow Pages,Jim Halpert,10.00%,,$642.80,Aug 2024
8/14/24,Vanessa Duignan,0 Nevada Road,Little Rock,AR,72204,vduignanhm@wunderground.com,"$3,230",Ultra-White Cardstock,Delivered,Inbound Call,Stanley Hudson,10.00%,,$323.00,Aug 2024
8/14/24,Annmaria Fisher,09158 Sommers Pass,New York City,NY,10275,afishernt@shutterfly.com,"$4,413",65lb cover stock,Delivered,Yellow Pages,Phyllis Vance,10.00%,,$441.30,Aug 2024
8/15/24,Quintin Jozwicki,3 Petterle Plaza,Racine,WI,53405,qjozwicki3e@cmu.edu,"$3,074",Sticky Quips,Delivered,Inbound Call,Dwight Schrute,10.00%,,$307.40,Aug 2024
8/15/24,Stephen Schuricke,08185 Dunning Circle,Washington,DC,20436,sschuricke6w@dmoz.org,"$7,915",38lb bond,Delivered,Cold Call,Stanley Hudson,10.00%,,$791.50,Aug 2024
8/15/24,Austine Cornau,519 Rusk Point,Omaha,NE,68164,acornaucv@usda.gov,"$4,068",Airstream Deluze A4,Delivered,Cold Call,Stanley Hudson,10.00%,,$406.80,Aug 2024
8/15/24,Cathlene Comport,030 Pine View Park,San Antonio,TX,78220,ccomportfz@woothemes.com,"$9,494",Ultra-White Cardstock,Delivered,Yellow Pages,Dwight Schrute,10.00%,,$949.40,Aug 2024
8/15/24,Lorry Whereat,05 Talmadge Way,Birmingham,AL,35220,lwhereatpb@ox.ac.uk,"$1,126",Airstream Deluze A4,Delivered,Cold Call,Danny Cordray,10.00%,,$112.60,Aug 2024
8/16/24,Cyndie Bartlam,49 Sheridan Lane,Tucson,AZ,85715,cbartlam43@who.int,"$9,878",Airstream Deluze A4,Delivered,Client Referral,Dwight Schrute,10.00%,,$987.80,Aug 2024
8/16/24,Darryl Tearny,5 Tennessee Circle,San Diego,CA,92186,dtearnyek@washington.edu,"$9,796",38lb bond,Delivered,Cold Call,Dwight Schrute,10.00%,,$979.60,Aug 2024
8/16/24,Francesca Dodgshon,65542 Green Ridge Circle,Cincinnati,OH,45223,fdodgshonij@yale.edu,"$9,313",38lb bond,Delivered,Cold Call,Andy Bernard,10.00%,,$931.30,Aug 2024
8/17/24,Raeann Jenny,1390 Stephen Way,Myrtle Beach,SC,29579,rjenny9j@alexa.com,"$8,949",20lb letter stock,Delivered,Inbound Call,Danny Cordray,10.00%,,$894.90,Aug 2024
8/17/24,Masha Balsillie,17 Schmedeman Terrace,El Paso,TX,88546,mbalsilliebb@cyberchimps.com,"$4,006",Ultra-White Cardstock,Delivered,Cold Call,Karen Filippelli,10.00%,,$400.60,Aug 2024
8/17/24,Timotheus Claesens,4 Tennyson Way,Des Moines,IA,50310,tclaesenseu@toplist.cz,"$3,279",38lb bond,Delivered,Client Referral,Pam Halpert,10.00%,,$327.90,Aug 2024
8/18/24,Hastie Emlyn,6185 Huxley Pass,Evansville,IN,47712,hemlyn4x@nih.gov,"$3,445",20lb letter stock,Delivered,Cold Call,Andy Bernard,10.00%,,$344.50,Aug 2024
8/18/24,Angy Dyhouse,5320 Monument Pass,Kansas City,MO,64136,adyhouseba@yahoo.com,"$1,264",HQ 28lb bond,Delivered,Cold Call,Jim Halpert,10.00%,,$126.40,Aug 2024
8/18/24,Laughton Clist,547 Dorton Lane,Seattle,WA,98121,lclistgt@exblog.jp,"$4,572",38lb bond,Delivered,Cold Call,Phyllis Vance,10.00%,,$457.20,Aug 2024
